B1_avg,B2_avg,B3_avg,B4_avg,B5_avg,B6_avg,B7_avg,B8_avg,B9_avg,Direction,RP,X,Y,Device
-89,-88,-86,-80,-83,-78,-85,-73,-80,norte,P_6_1,1.57,8.75,Moto7
-86,-86,-84,-85,-81,-80,-80,-74,-77,norte,P_6_1,1.57,8.75,Moto7
-87,-90,-84,-79,-82,-82,-84,-72,-77,norte,P_6_1,1.57,8.75,Moto7
-87,-91,-85,-82,-80,-81,-84,-73,-80,norte,P_6_1,1.57,8.75,Moto7
-85,-91,-85,-82,-83,-79,-83,-75,-81,norte,P_6_1,1.57,8.75,Moto7
-85,-90,-84,-80,-81,-75,-83,-74,-79,norte,P_6_1,1.57,8.75,Moto7
-84,-94,-88,-84,-79,-80,-81,-75,-79,norte,P_6_1,1.57,8.75,Moto7
-84,-88,-90,-83,-84,-83,-85,-74,-82,norte,P_6_1,1.57,8.75,Moto7
-86,-91,-86,-85,-81,-79,-83,-74,-81,norte,P_6_1,1.57,8.75,Moto7
-84,-94,-85,-82,-78,-73,-83,-73,-77,norte,P_6_1,1.57,8.75,Moto7
-88,-90,-85,-78,-79,-73,-82,-74,-77,norte,P_6_1,1.57,8.75,Moto7
-86,-90,-83,-75,-84,-77,-82,-72,-77,norte,P_6_1,1.57,8.75,Moto7
-92,-87,-82,-77,-86,-78,-86,-75,-78,norte,P_6_1,1.57,8.75,Moto7
-92,-86,-80,-76,-84,-75,-81,-75,-79,norte,P_6_1,1.57,8.75,Moto7
-91,-85,-81,-77,-87,-81,-82,-76,-84,norte,P_6_1,1.57,8.75,Moto7
-92,-86,-80,-75,-85,-85,-83,-78,-84,norte,P_6_1,1.57,8.75,Moto7
-92,-87,-81,-75,-85,-79,-81,-77,-79,norte,P_6_1,1.57,8.75,Moto7
-88,-86,-81,-78,-80,-79,-87,-79,-85,norte,P_6_1,1.57,8.75,Moto7
-90,-85,-80,-77,-84,-76,-81,-79,-79,norte,P_6_1,1.57,8.75,Moto7
-92,-85,-80,-75,-81,-80,-82,-80,-79,norte,P_6_1,1.57,8.75,Moto7
-93,-85,-81,-77,-82,-77,-81,-79,-81,norte,P_6_1,1.57,8.75,Moto7
-91,-86,-81,-78,-83,-76,-82,-78,-80,norte,P_6_1,1.57,8.75,Moto7
-90,-86,-81,-76,-84,-75,-81,-78,-80,norte,P_6_1,1.57,8.75,Moto7
-93,-85,-82,-77,-84,-77,-81,-80,-80,norte,P_6_1,1.57,8.75,Moto7
-90,-87,-80,-77,-81,-79,-80,-79,-80,norte,P_6_1,1.57,8.75,Moto7
-91,-86,-81,-75,-85,-82,-81,-79,-79,norte,P_6_1,1.57,8.75,Moto7
-88,-88,-79,-78,-85,-80,-84,-79,-80,norte,P_6_1,1.57,8.75,Moto7
-86,-89,-78,-77,-86,-83,-85,-79,-81,norte,P_6_1,1.57,8.75,Moto7
-86,-87,-78,-76,-90,-82,-86,-77,-81,norte,P_6_1,1.57,8.75,Moto7
-86,-80,-86,-79,-82,-83,-84,-75,-77,leste,P_6_1,1.57,8.75,Moto7
-87,-82,-88,-79,-80,-83,-80,-75,-79,leste,P_6_1,1.57,8.75,Moto7
-85,-79,-91,-81,-84,-81,-82,-82,-80,leste,P_6_1,1.57,8.75,Moto7
-89,-80,-85,-81,-87,-79,-81,-77,-79,leste,P_6_1,1.57,8.75,Moto7
-83,-85,-86,-83,-82,-78,-81,-76,-79,leste,P_6_1,1.57,8.75,Moto7
-85,-83,-87,-80,-84,-76,-81,-78,-81,leste,P_6_1,1.57,8.75,Moto7
-85,-87,-88,-82,-87,-76,-85,-75,-79,leste,P_6_1,1.57,8.75,Moto7
-85,-81,-91,-80,-83,-80,-83,-75,-82,leste,P_6_1,1.57,8.75,Moto7
-84,-79,-94,-79,-84,-78,-87,-78,-81,leste,P_6_1,1.57,8.75,Moto7
-88,-79,-88,-78,-83,-82,-82,-79,-82,leste,P_6_1,1.57,8.75,Moto7
-92,-82,-91,-80,-88,-82,-85,-78,-85,leste,P_6_1,1.57,8.75,Moto7
-85,-81,-85,-83,-86,-77,-82,-81,-82,leste,P_6_1,1.57,8.75,Moto7
-89,-83,-87,-80,-88,-77,-82,-74,-85,leste,P_6_1,1.57,8.75,Moto7
-87,-81,-92,-78,-89,-81,-85,-72,-83,leste,P_6_1,1.57,8.75,Moto7
-88,-81,-93,-80,-89,-83,-87,-77,-84,leste,P_6_1,1.57,8.75,Moto7
-87,-81,-92,-81,-89,-80,-91,-76,-84,leste,P_6_1,1.57,8.75,Moto7
-89,-84,-88,-81,-86,-77,-88,-76,-87,leste,P_6_1,1.57,8.75,Moto7
-89,-83,-86,-82,-89,-78,-84,-74,-82,leste,P_6_1,1.57,8.75,Moto7
-90,-83,-86,-82,-90,-79,-87,-74,-86,leste,P_6_1,1.57,8.75,Moto7
-87,-85,-85,-82,-85,-78,-85,-76,-82,leste,P_6_1,1.57,8.75,Moto7
-85,-80,-87,-82,-86,-85,-84,-72,-86,leste,P_6_1,1.57,8.75,Moto7
-86,-81,-85,-78,-83,-85,-86,-76,-78,leste,P_6_1,1.57,8.75,Moto7
-85,-84,-86,-82,-82,-79,-86,-76,-82,leste,P_6_1,1.57,8.75,Moto7
-85,-84,-84,-82,-82,-79,-84,-79,-80,leste,P_6_1,1.57,8.75,Moto7
-88,-82,-84,-79,-82,-79,-85,-79,-80,leste,P_6_1,1.57,8.75,Moto7
-90,-83,-84,-78,-85,-79,-82,-72,-85,leste,P_6_1,1.57,8.75,Moto7
-88,-86,-83,-80,-86,-76,-82,-73,-83,leste,P_6_1,1.57,8.75,Moto7
-92,-83,-82,-82,-83,-77,-81,-72,-83,leste,P_6_1,1.57,8.75,Moto7
-87,-81,-80,-79,-82,-76,-81,-69,-80,leste,P_6_1,1.57,8.75,Moto7
-80,-79,-79,-77,-81,-77,-85,-83,-87,sul,P_6_1,1.57,8.75,Moto7
-80,-80,-80,-77,-82,-76,-80,-84,-86,sul,P_6_1,1.57,8.75,Moto7
-81,-82,-82,-82,-83,-79,-80,-85,-82,sul,P_6_1,1.57,8.75,Moto7
-76,-77,-81,-82,-81,-82,-80,-86,-90,sul,P_6_1,1.57,8.75,Moto7
-81,-80,-82,-75,-89,-80,-81,-80,-85,sul,P_6_1,1.57,8.75,Moto7
-82,-80,-86,-75,-78,-79,-78,-86,-86,sul,P_6_1,1.57,8.75,Moto7
-81,-79,-87,-71,-81,-79,-82,-85,-89,sul,P_6_1,1.57,8.75,Moto7
-81,-79,-86,-74,-81,-77,-82,-85,-85,sul,P_6_1,1.57,8.75,Moto7
-87,-81,-83,-74,-79,-76,-80,-85,-86,sul,P_6_1,1.57,8.75,Moto7
-85,-83,-83,-74,-79,-78,-79,-84,-82,sul,P_6_1,1.57,8.75,Moto7
-83,-83,-81,-73,-80,-79,-79,-86,-81,sul,P_6_1,1.57,8.75,Moto7
-82,-84,-82,-74,-81,-78,-79,-85,-81,sul,P_6_1,1.57,8.75,Moto7
-79,-85,-81,-74,-79,-78,-81,-87,-80,sul,P_6_1,1.57,8.75,Moto7
-79,-81,-83,-76,-82,-78,-83,-89,-81,sul,P_6_1,1.57,8.75,Moto7
-79,-81,-84,-75,-82,-78,-83,-87,-80,sul,P_6_1,1.57,8.75,Moto7
-81,-81,-90,-77,-81,-78,-84,-82,-82,sul,P_6_1,1.57,8.75,Moto7
